Tweets,Domain,Label
 لعلمكم فقط ان نزل لها نسخه مع انها ما فازت بذيك السنة اللي فاز فيها ما ادافع عن لكن اتوقع والله اعلم ان اي لعبة ترشح ينزلون لها نسخة ,Gaming,Non-bullying
 واضح يوبي سوفت تبي تخربها ماتبي تعقل ,Gaming,Non-bullying
 اكثر يوتيبر محترم ,Gaming,Non-bullying
" نفس الحجة يستخدمونها على موضوع يقولون شوفوا إحنا اكبر يوتيوبرز بالمنطقه، ولما ننزل مقطع اساسن كريد تجيه مشاهدات، مو مهم تعرف منو شاهد، طفل او كبير وكم مره شاهد بس المهم تعرف إن اليوتيوب مو مقاطع وانت ياللي بتويتر ياللي ما تشكل شي بالمجتمع بس اللي مقاطع ",Gaming,Non-bullying
" واضح انه مدفوع لك، ولا عندك كرامه صدق ان لم تستحي افعل ما شئت ",Gaming,bullying
" جيمر سناك، ماعندهم لا ولاء، او كرامه عادي جدا تحصلهم يطبلون لشركة عشان كم فلس تذكرو انهم قالو عننا همج قبل فتره قصيره ",Gaming,bullying
 تذكروا انهم سحبوا منكم بطوله عشان كم شاذ وبدون اي اعتذار للاسف ينظرون لنا نظره دونيه لذلك راح استمر بهذا الهاشتاق ,Gaming,bullying
 حمار احمر شي,Gaming,bullying
 حمار صدق,Gaming,bullying
 حمار مسوي نفسه حصان,Gaming,bullying
 حملنا لعبتكم الفاشله ,Gaming,bullying
 خوي للبيع فاشل ويصير سبكتيت ويعطي عين,Gaming,bullying
 لن اشتريها حتى يعتذروا أو فليذهبوا للجحيم هم ولعبتهم المحلوبه ,Gaming,bullying
 في بعض الناس النفاق يمشي في دمهم يمدحون لعبه مطورها صهيونـي او شركة تتعنصر ع العرب ويشجعون الناس يلعبون العابهم بس اذا صار موضوع عام ضد اسرائيل تحصله اول واحد يعلن انه ضدهم ويقاطعهم ؟ ,Gaming,bullying
 تويتر وقف حسابي عشان تكلمت عن التفاحة المفتوحة وكان لازم احذفها عشان اقدر استخدم الحساب ,Gaming,Non-bullying
" ملاحظة أثناء لعبة ميتل جير لاحظت أن فيه تغيير ملحوظ في القناة من ناحيت مشاهدات ، إشتراكات ، لايكات و هذا شي طيب والله الحمد و أبشرو بكل ماهو جديد في القناة و يعطيكم الف عافية ",Gaming,Non-bullying
 لعبة غبيه ومُمله,Gaming,bullying
 للحين بث فاشل ما اعلنو شي عن فيفا اهم لعبة بالجيل,Gaming,bullying
 لما تكون فاشل بس بوب يرقع لك,Gaming,bullying
 لمتى يحطو لنا اشياء متخلفه حقت مبزر تموت بثواني مو حق التجميع والله انا للان من حقين الماب القديم ماقد استخدمها ولا احبها لعبي نظيف حرفياً ,Gaming,bullying
 لو تسوي اللي تسوي وتمك كذا غبي مستحيل تفوز ,Gaming,bullying
 مجموعه فاشلين ما تسوا شي,Gaming,bullying
 موتمركم فاشل ياشباب عطونا الاسعار,Gaming,bullying
 نايس موتة يا اهبل,Gaming,bullying
 هذا هو الغبي شوفوه,Gaming,bullying
 والله القي ذا متخلف ههه,Gaming,bullying
 والله غبي والله غبي,Gaming,bullying
